zone,zone_lat,zone_lon,predicted_violations,covered,displaced_out,displaced_in,residual_predicted
GRID_13.08_77.55,13.081772723452255,77.54838813573978,0.068633474,False,0.0,0.0,0.07
GRID_13.05_77.76,13.054034537878788,77.7624305060606,0.033582803,False,0.0,0.0,0.03
GRID_13.06_77.47,13.058073459210528,77.46919384736843,0.07378579,False,0.0,0.0,0.07
GRID_12.95_77.64,12.952770232,77.64053763800001,0.06833649,False,0.0,0.0,0.07
GRID_12.95_77.65,12.95255452777265,77.65252573619748,0.092346504,False,0.0,0.0,0.09
GRID_12.99_77.69,12.989920683976582,77.68945407124016,0.056464285,False,0.0,0.0,0.06
GRID_12.99_77.58,12.991047903225807,77.5759977935484,0.04591165,False,0.0,0.0,0.05
GRID_12.99_77.51,12.989304339560439,77.50771355824176,0.028431335,False,0.0,0.0,0.03
GRID_13.06_77.51,13.056640643055555,77.50733909166667,0.05143769,False,0.0,0.0,0.05
GRID_12.99_77.75,12.985792170526317,77.74597179999999,0.009899334,False,0.0,0.0,0.01
GRID_12.97_77.75,12.968337573910526,77.74968541019369,0.03999028,False,0.0,0.0,0.04
GRID_12.96_77.64,12.957854684285714,77.64360748714284,0.040694587,False,0.0,0.0,0.04
GRID_12.86_77.59,12.85751681506402,77.58907648095652,0.066851825,False,0.0,0.0,0.07
GRID_12.98_77.53,12.982531767311004,77.52925576414667,0.04979722,False,0.0,0.0,0.05
GRID_13.04_77.61,13.041515908108108,77.61341035405405,0.07274702,False,0.0,0.0,0.07
GRID_13.04_77.58,13.038717738888888,77.57775560185185,0.06082436,False,0.0,0.0,0.06
GRID_13.0_77.76,13.003076726527182,77.75711186573155,0.050285865,False,0.0,0.0,0.05
GRID_13.11_77.6,13.107983380952382,77.60266978333333,0.013792407,False,0.0,0.0,0.01
GRID_12.81_77.7,12.806186907142857,77.69885753571428,0.03871422,False,0.0,0.0,0.04
GRID_13.0_77.71,13.00442156304348,77.7109514173913,0.024120364,False,0.0,0.0,0.02
GRID_13.04_77.74,13.035901494117647,77.73579886862746,0.047280744,False,0.0,0.0,0.05
GRID_13.15_77.62,13.14958193125,77.6191705125,0.08240694,False,0.0,0.0,0.08
GRID_13.25_77.72,13.248486729411765,77.71559784117646,0.049586087,False,0.0,0.0,0.05
GRID_12.9_77.6,12.895282174074074,77.59923052839507,0.04845801,False,0.0,0.0,0.05
GRID_13.01_77.63,13.013028208450704,77.62644398591549,0.024774909,False,0.0,0.0,0.02
GRID_13.01_77.51,13.010730074000001,77.506390124,0.030410092,False,0.0,0.0,0.03
GRID_12.88_77.62,12.876063910869567,77.61686252826087,0.0065067885,False,0.0,0.0,0.01
GRID_12.97_77.54,12.96688442253521,77.54329603943663,0.0071508223,False,0.0,0.0,0.01
GRID_12.97_77.56,12.969078136880748,77.55921288890592,0.02375387,False,0.0,0.0,0.02
GRID_12.98_77.51,12.978851978378378,77.51103640810811,0.027875489,False,0.0,0.0,0.03
GRID_12.98_77.52,12.980039327117703,77.51933700320447,0.07441966,False,0.0,0.0,0.07
GRID_13.05_77.52,13.04668846497608,77.52143765378706,0.01603423,False,0.0,0.0,0.02
GRID_12.96_77.75,12.959525433333333,77.74684969500001,0.034784637,False,0.0,0.0,0.03
GRID_13.05_77.63,13.047977615957446,77.62877304574468,0.02676921,False,0.0,0.0,0.03
GRID_12.86_77.53,12.861918386153846,77.53000424307692,0.010011302,False,0.0,0.0,0.01
GRID_12.95_77.53,12.947976430303031,77.53362878939394,0.026020708,False,0.0,0.0,0.03
GRID_12.95_77.62,12.950391864705884,77.6203928372549,0.036314715,False,0.0,0.0,0.04
GRID_12.99_77.48,12.985924990721106,77.47878629070175,0.057051238,False,0.0,0.0,0.06
GRID_12.85_77.59,12.852023308333335,77.58834785833334,0.037452582,False,0.0,0.0,0.04
GRID_13.06_77.53,13.055597753658537,77.53457118780487,0.022794876,False,0.0,0.0,0.02
GRID_12.95_77.69,12.950920030555556,77.68925422222223,0.018509071,False,0.0,0.0,0.02
