zone,zone_kind,bin_start,zone_lat,zone_lon,predicted_violations,risk,priority_score,congestion_index,est_capacity_reduction_pct,pcu_load,forecast_window_start
GRID_12.91_77.63,grid,2024-04-09,12.909304294183482,77.63007798692958,1.0227638,Low,7.1,4.3,2.6,1.1,2024-04-09
GRID_12.96_77.72,grid,2024-04-09,12.96199766822802,77.71715576768345,0.805816,Low,7.0,3.1,1.9,0.8,2024-04-09
GRID_13.03_77.54,grid,2024-04-09,13.029212624410057,77.53923860108682,1.4602658,Low,6.8,6.2,3.7,1.6,2024-04-09
GRID_13.1_77.6,grid,2024-04-09,13.09731581945795,77.59935528704435,1.7680268,Low,6.7,7.0,4.2,1.81,2024-04-09
GRID_12.94_77.69,grid,2024-04-09,12.936275426592282,77.69180060837698,1.2086096,Low,6.6,5.9,3.5,1.52,2024-04-09
GRID_12.95_77.7,grid,2024-04-09,12.949891874274797,77.69957600147247,1.1886119,Low,6.1,11.3,6.8,3.0,2024-04-09
GRID_13.0_77.61,grid,2024-04-09,12.997784809367397,77.61218897925791,0.51931465,Low,6.0,1.6,1.0,0.41,2024-04-09
GRID_12.97_77.66,grid,2024-04-09,12.971386472277048,77.65808232698889,0.8982244,Low,5.9,3.1,1.9,0.8,2024-04-09
GRID_12.96_77.7,grid,2024-04-09,12.957890746228077,77.70150991942758,0.7137124,Low,5.9,3.3,2.0,0.84,2024-04-09
GRID_12.96_77.65,grid,2024-04-09,12.9596272721904,77.64778127604174,0.84049386,Low,5.2,4.1,2.5,1.05,2024-04-09
GRID_12.97_77.71,grid,2024-04-09,12.971546419687106,77.71194441374813,1.0733386,Low,5.0,5.3,3.2,1.37,2024-04-09
GRID_12.91_77.64,grid,2024-04-09,12.911617668865443,77.6379102259959,0.36740348,Low,5.0,1.1,0.7,0.28,2024-04-09
GRID_12.99_77.61,grid,2024-04-09,12.990677105966894,77.60878863097561,0.7454612,Low,4.4,3.0,1.8,0.76,2024-04-09
GRID_13.19_77.65,grid,2024-04-09,13.1912518608,77.64623554427587,0.68289155,Low,4.2,4.6,2.8,1.19,2024-04-09
GRID_13.02_77.53,grid,2024-04-09,13.018764896676737,77.53159845226587,0.7329001,Low,3.9,4.6,2.8,1.18,2024-04-09
GRID_12.99_77.66,grid,2024-04-09,12.99339169049954,77.66240332037073,0.5820038,Low,3.7,1.7,1.0,0.44,2024-04-09
GRID_13.06_77.59,grid,2024-04-09,13.06155912352622,77.59007049334042,0.38318175,Low,3.7,1.5,0.9,0.39,2024-04-09
GRID_13.02_77.56,grid,2024-04-09,13.018269436277144,77.55759708554575,0.7455479,Low,3.6,3.2,1.9,0.81,2024-04-09
GRID_12.95_77.72,grid,2024-04-09,12.951507326752585,77.71746926868809,0.8931609,Low,3.6,6.5,3.9,1.69,2024-04-09
GRID_13.03_77.59,grid,2024-04-09,13.031593231695556,77.58792562434873,0.4145967,Low,3.5,1.6,1.0,0.41,2024-04-09
GRID_12.97_77.65,grid,2024-04-09,12.97043379566521,77.64758168566345,0.3671408,Low,3.5,2.2,1.3,0.55,2024-04-09
GRID_12.92_77.67,grid,2024-04-09,12.920339341024242,77.66965571662604,0.62068313,Low,3.3,2.5,1.5,0.63,2024-04-09
GRID_13.03_77.62,grid,2024-04-09,13.033556794163424,77.62384081167315,0.8680574,Low,3.3,5.4,3.3,1.39,2024-04-09
GRID_12.98_77.64,grid,2024-04-09,12.97901119579896,77.63990778844614,0.55485666,Low,3.3,2.5,1.5,0.62,2024-04-09
GRID_12.97_77.58,grid,2024-04-09,12.969516043665015,77.57593034244353,0.4294274,Low,3.3,1.6,0.9,0.39,2024-04-09
GRID_12.84_77.65,grid,2024-04-09,12.841695712077703,77.64683507837839,0.2323686,Low,3.2,0.7,0.4,0.17,2024-04-09
GRID_13.05_77.58,grid,2024-04-09,13.047631684634146,77.57610700231707,0.6591514,Low,3.2,1.9,1.2,0.49,2024-04-09
GRID_12.97_77.64,grid,2024-04-09,12.969850851438833,77.6406845895895,0.23417069,Low,3.2,0.9,0.6,0.23,2024-04-09
GRID_12.88_77.65,grid,2024-04-09,12.877618998177343,77.64721667009009,0.7828125,Low,3.2,3.7,2.2,0.95,2024-04-09
GRID_13.0_77.7,grid,2024-04-09,12.995375450421525,77.6963883122724,0.4925118,Low,3.1,3.3,2.0,0.83,2024-04-09
GRID_12.93_77.63,grid,2024-04-09,12.930945671653543,77.63211823950131,0.5914043,Low,3.1,2.3,1.4,0.59,2024-04-09
GRID_12.9_77.68,grid,2024-04-09,12.899573188610386,77.67553171059443,0.47466046,Low,3.0,1.7,1.0,0.43,2024-04-09
GRID_12.88_77.64,grid,2024-04-09,12.88294517953203,77.64181161704204,0.70815927,Low,2.7,3.4,2.0,0.85,2024-04-09
