zone,zone_kind,bin_start,zone_lat,zone_lon,predicted_violations,risk,priority_score,congestion_index,est_capacity_reduction_pct,pcu_load,forecast_window_start
"BTP095 - Satellite Bus Stand, Mysore Road",junction,2024-04-09,12.953803576387163,77.5433510796265,0.40225378,Low,12.6,1.8,1.1,0.47,2024-04-09
"BTP189 - New Diagonal Road, Jayanagar",junction,2024-04-09,12.928088273359073,77.58068341254827,0.43973795,Low,12.6,1.9,1.1,0.47,2024-04-09
BTP172 - Nanjappa Circle,junction,2024-04-09,12.961712130591632,77.5994701020202,0.23150295,Low,12.5,0.8,0.5,0.21,2024-04-09
BTP192 - Urvashi Theater,junction,2024-04-09,12.95644291764706,77.58601795813148,0.35113657,Low,12.5,1.9,1.1,0.48,2024-04-09
BTP074 - Leprosy Hospital Junction,junction,2024-04-09,12.975734541859076,77.56168708821251,0.24551669,Low,12.5,1.1,0.6,0.27,2024-04-09
BTP028 - Vijayanagar Bus Stand Junction,junction,2024-04-09,12.972557481866048,77.53810466215123,0.21777268,Low,12.3,1.0,0.6,0.25,2024-04-09
BTP071 - Prasanna Junction,junction,2024-04-09,12.974425242344251,77.55209937891078,0.28069344,Low,12.3,1.1,0.6,0.27,2024-04-09
BTP208 - Havanur Circle,junction,2024-04-09,12.987943587152564,77.5375518757677,0.22362511,Low,12.3,1.0,0.6,0.25,2024-04-09
"BTP115 - Sahasra Hospital, Jayanagar",junction,2024-04-09,12.9172537672404,77.57373717884926,0.49091738,Low,12.2,3.7,2.2,0.93,2024-04-09
"BTP206 - Shankara Mutt Circle, Vijayanagar",junction,2024-04-09,12.998634004522613,77.54148434706867,0.14803651,Low,12.0,0.6,0.4,0.16,2024-04-09
BTP136 - Hosur-Tavarkere Road Junction,junction,2024-04-09,12.934256872468355,77.60856094556962,0.37547648,Low,11.9,2.8,1.7,0.71,2024-04-09
"BTP202 - East End Main Road, Jayanagar",junction,2024-04-09,12.917146362068966,77.59691362068966,0.56427383,Low,11.9,3.3,2.0,0.84,2024-04-09
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",junction,2024-04-09,12.979942471434695,77.55467846447999,0.3175343,Low,11.9,1.7,1.0,0.42,2024-04-09
BTP184 - Lalbagh West Gate,junction,2024-04-09,12.948408644615386,77.58014869538462,0.47454685,Low,11.8,1.9,1.2,0.49,2024-04-09
"BTP210 - 50th cross, 12th Main , Rajajinagar",junction,2024-04-09,12.986993655784064,77.5551775596401,0.27710873,Low,11.8,1.4,0.9,0.36,2024-04-09
"BTP024 - NPS, Vijayanagar",junction,2024-04-09,12.98285641751018,77.54881741390679,0.3283657,Low,11.7,1.7,1.0,0.43,2024-04-09
"BTP123 - 10th Cross, Wilson Garden",junction,2024-04-09,12.946074685373008,77.59611191647917,0.23332997,Low,11.6,1.1,0.7,0.28,2024-04-09
BTP018 - Dhobi Ghat Junction,junction,2024-04-09,12.987581793589744,77.54985970128205,0.23485702,Low,11.6,1.3,0.8,0.33,2024-04-09
BTP091 - Sirsi Circle,junction,2024-04-09,12.962144173390557,77.55870154763949,0.34526178,Low,11.5,2.5,1.5,0.63,2024-04-09
"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",junction,2024-04-09,12.91730204968153,77.57837235923567,0.3467381,Low,11.5,2.0,1.2,0.52,2024-04-09
GRID_12.89_77.64,grid,2024-04-09,12.890707578980251,77.6387934396799,3.091416,Low,11.5,12.6,7.6,3.37,2024-04-09
GRID_13.0_77.68,grid,2024-04-09,13.000496497096663,77.67730860277838,2.6244302,Low,11.5,16.2,9.7,4.43,2024-04-09
BTP140 - Madiwala Check Post,junction,2024-04-09,12.93232729010239,77.61331337269624,0.20101947,Low,11.4,1.3,0.8,0.33,2024-04-09
BTP098 - Nayandahalli Junction,junction,2024-04-09,12.944968452830189,77.52777250314465,0.33433008,Low,11.4,2.5,1.5,0.64,2024-04-09
BTP126 - Dairy Circle,junction,2024-04-09,12.936761205533596,77.60207464584981,0.24547932,Low,11.4,2.0,1.2,0.49,2024-04-09
BTP155 - Katriguppe Junction,junction,2024-04-09,12.926701964163822,77.55074101638225,0.29497328,Low,11.4,1.2,0.7,0.3,2024-04-09
"BTP117 - 9th Cross, Kanakapura Road",junction,2024-04-09,12.91238351302521,77.57324936218488,0.316302,Low,11.4,1.9,1.1,0.48,2024-04-09
"BTP188 - 27th Cross, 4th Main, Jayanagar",junction,2024-04-09,12.929678117578124,77.58056281445313,0.34417534,Low,11.4,1.2,0.7,0.31,2024-04-09
"BTP226 - 33rd Cross, 11th Main, Jayanagar",junction,2024-04-09,12.92587461497326,77.58560018262033,0.15300295,Low,11.4,0.9,0.5,0.22,2024-04-09
BTP130 - GD Mara Junction,junction,2024-04-09,12.908069806993007,77.60081927185315,0.1254028,Low,11.3,0.5,0.3,0.12,2024-04-09
BTP076 - Hudson Circle,junction,2024-04-09,12.968017993059126,77.5887969092545,0.13547184,Low,11.3,0.6,0.4,0.15,2024-04-09
"BTP101 - Blood Bank Circle, KH Road",junction,2024-04-09,12.961954240163934,77.5961973273224,0.05938329,Low,11.3,0.2,0.1,0.05,2024-04-09
BTP215 - Vanivillas Junction,junction,2024-04-09,12.946164027505311,77.57023107982037,0.17573671,Low,11.3,0.9,0.5,0.23,2024-04-09
BTP180 - Swagath Poornima Theatre,junction,2024-04-09,12.960504212931033,77.58728456206896,0.224565,Low,11.3,1.7,1.0,0.42,2024-04-09
GRID_12.93_77.68,grid,2024-04-09,12.92730742302336,77.67927728206413,2.3076677,Low,11.3,9.9,6.0,2.62,2024-04-09
"BTP033 - Sophia High School, Sankey Road",junction,2024-04-09,12.990396026086957,77.58866933540372,0.28949842,Low,11.3,0.9,0.5,0.23,2024-04-09
BTP067 - Jai Muni Rao Circle,junction,2024-04-09,12.97851010095941,77.5427450559276,0.107501335,Low,11.3,0.5,0.3,0.13,2024-04-09
BTP085 - Briyand Circle,junction,2024-04-09,12.966174915827338,77.56939723597122,0.31490687,Low,11.2,2.2,1.3,0.55,2024-04-09
BTP109 - Dewan Madhava Rao Junction,junction,2024-04-09,12.940876033076922,77.5724223026923,0.16702063,Low,11.2,0.7,0.4,0.18,2024-04-09
"BTP099 - Cash Pharmacy, Residency Road",junction,2024-04-09,12.969258660389611,77.60025074188312,0.071185485,Low,11.2,0.4,0.3,0.11,2024-04-09
BTP100 - Richmond Circle,junction,2024-04-09,12.962794659409594,77.59828995424354,0.069151245,Low,11.1,0.2,0.1,0.06,2024-04-09
BTP078 - NR Square Junction,junction,2024-04-09,12.965887268780488,77.58540834780489,0.16123788,Low,11.1,0.9,0.5,0.22,2024-04-09
BTP017 - Attiguppe Circle,junction,2024-04-09,12.960579954599407,77.52975111008902,0.01623273,Low,11.1,0.1,0.0,0.01,2024-04-09
"BTP179 - 9th Block, 28th Main, Jayanagar",junction,2024-04-09,12.916983268749998,77.59499624625,0.30462646,Low,11.1,1.5,0.9,0.38,2024-04-09
BTP146 - Domlur Water Tank,junction,2024-04-09,12.960501909016394,77.63876197213115,0.25907192,Low,11.1,1.5,0.9,0.38,2024-04-09
BTP214 - 5th Main Chamrajpet  Junction,junction,2024-04-09,12.966109929586068,77.54990258726592,0.19168462,Low,11.0,1.0,0.6,0.26,2024-04-09
BTP219 - Canara Bank Junction,junction,2024-04-09,12.931163036825396,77.58447701111112,0.075124055,Low,11.0,0.4,0.2,0.09,2024-04-09
"BTP163 - 16th Main Road, BTM Layout",junction,2024-04-09,12.915018361967213,77.6085338095082,0.06857919,Low,11.0,0.3,0.2,0.08,2024-04-09
"BTP177 - Aurobindo Circle, ORR",junction,2024-04-09,12.916604498192772,77.58521114759036,0.19062307,Low,11.0,1.1,0.6,0.27,2024-04-09
"BTP145 - Sri Hatti Maramma Circle, Domluru",junction,2024-04-09,12.961289213222164,77.63616230302713,0.1745015,Low,11.0,0.9,0.6,0.23,2024-04-09
BTP047 - Vidhan Soudha Metro Station,junction,2024-04-09,12.979841192592591,77.59251356560847,0.12421898,Low,10.9,0.6,0.4,0.15,2024-04-09
BTP052 - CID Carlton House Junction,junction,2024-04-09,12.980892975739932,77.58766559770304,0.14032684,Low,10.9,0.8,0.5,0.2,2024-04-09
BTP041 - Gopal Gowda Circle,junction,2024-04-09,12.977367761450381,77.59045643778626,0.11898223,Low,10.9,0.6,0.3,0.14,2024-04-09
"BTP221 - 15th Cross, 24th Main, JP Nagar",junction,2024-04-09,12.904821129473683,77.58624848105264,0.21252482,Low,10.9,1.3,0.8,0.32,2024-04-09
BTP171 - Indian Express (Balekundri),junction,2024-04-09,12.986118457731958,77.59866572268041,0.21891157,Low,10.9,1.1,0.7,0.27,2024-04-09
BTP037 - KR Circle,junction,2024-04-09,12.976492461780106,77.58641872356021,0.1061227,Low,10.9,0.7,0.4,0.17,2024-04-09
BTP218 - Syndicate Bank Junction,junction,2024-04-09,12.934745061184211,77.58441769605264,0.048751876,Low,10.9,0.2,0.1,0.04,2024-04-09
BTP132 - Anepalya Junction,junction,2024-04-09,12.951218263265307,77.60693767210884,0.17559068,Low,10.8,1.1,0.7,0.28,2024-04-09
BTP034 - LRDE Junction,junction,2024-04-09,12.988376719514173,77.59181692993047,0.11186603,Low,10.8,0.5,0.3,0.13,2024-04-09
"BTP186 - 9th Cross, 4th Main, Jayanagar",junction,2024-04-09,12.939346947891531,77.58306246593123,0.13710384,Low,10.8,0.5,0.3,0.12,2024-04-09
"BTP197 - 9th Cross, 24th Main, JP Nagar",junction,2024-04-09,12.911649257920791,77.58617407673268,0.06791522,Low,10.8,0.4,0.2,0.09,2024-04-09
BTP009 - Prakash Nagar Junction,junction,2024-04-09,12.992510784831461,77.5575310719101,0.10188639,Low,10.8,0.4,0.2,0.1,2024-04-09
BTP225 - Geetha Junction,junction,2024-04-09,12.928369027272728,77.58585405849803,0.04243481,Low,10.8,0.2,0.1,0.04,2024-04-09
BTP220 - Puttanna Junction,junction,2024-04-09,12.928850529296875,77.5828325640625,0.02773393,Low,10.8,0.2,0.1,0.04,2024-04-09
BTP075 - Police Corner,junction,2024-04-09,12.96872643839462,77.58633180090612,0.12450955,Low,10.8,0.8,0.5,0.21,2024-04-09
BTP120 - Lalbagh Main Gate Junction,junction,2024-04-09,12.954161373619632,77.58463449325154,0.094292544,Low,10.7,0.6,0.3,0.14,2024-04-09
BTP119 - Minerva Circle,junction,2024-04-09,12.955120233734938,77.58029479216867,0.06682857,Low,10.7,0.3,0.2,0.07,2024-04-09
BTP122 - Siddapura Junction,junction,2024-04-09,12.948459547286822,77.59291910930233,0.118512295,Low,10.7,0.8,0.5,0.19,2024-04-09
BTP092 - Bangalore Builders Junction,junction,2024-04-09,12.959349637647058,77.5557458717647,0.14699665,Low,10.7,1.4,0.8,0.35,2024-04-09
BTP216 - Yediyur Junction,junction,2024-04-09,12.93802209089189,77.57687954027875,0.13744614,Low,10.7,0.8,0.5,0.2,2024-04-09
BTP173 - TMC,junction,2024-04-09,12.982320013533833,77.59870472105264,0.07885776,Low,10.6,0.4,0.3,0.11,2024-04-09
"BTP102 - BMTC Junction, KH Road",junction,2024-04-09,12.95558064,77.59289194142858,0.072617814,Low,10.6,0.4,0.3,0.11,2024-04-09
BTP105 - Shivasankara Circle,junction,2024-04-09,12.956886487078652,77.57419385617978,0.06024974,Low,10.6,0.2,0.1,0.06,2024-04-09
"BTP168 - MSR Building, JC Road",junction,2024-04-09,12.961178251219511,77.5842871495935,0.12908556,Low,10.6,0.8,0.5,0.21,2024-04-09
BTP217 - Baleyele Junction,junction,2024-04-09,12.957376190529521,77.56945101736699,0.09613506,Low,10.5,0.4,0.3,0.11,2024-04-09
BTP207 - 8th Main Road Basaveshwara Nagar,junction,2024-04-09,12.991911170558376,77.53847922335025,0.047775887,Low,10.5,0.2,0.1,0.05,2024-04-09
BTP103 - Shanti Nagar TTMC,junction,2024-04-09,12.953835349166667,77.59173402500001,0.05983938,Low,10.5,0.3,0.2,0.08,2024-04-09
"BTP113 - 27th Cross, Pai Vista, KR Road",junction,2024-04-09,12.917530724324326,77.57309781441441,0.07105432,Low,10.5,0.3,0.2,0.07,2024-04-09
BTP166 - Coffee Board Junction,junction,2024-04-09,12.984923901801801,77.59434976306306,0.07529264,Low,10.5,0.4,0.3,0.11,2024-04-09
BTP158 - Devegowda Petrol Bunk,junction,2024-04-09,12.921269069483158,77.5603682596793,0.1452475,Low,10.5,0.8,0.5,0.19,2024-04-09
BTP203 - RRMR Junction,junction,2024-04-09,12.967407398347108,77.59355071239669,0.056668025,Low,10.5,0.4,0.2,0.1,2024-04-09
BTP138 - Sarjapur Road Check Post,junction,2024-04-09,12.927108226774553,77.61689196143901,0.06661315,Low,10.4,0.4,0.2,0.1,2024-04-09
BTP193 - Vasavi Circle,junction,2024-04-09,12.949692636337348,77.57682725461063,0.043970678,Low,10.4,0.2,0.1,0.06,2024-04-09
"BTP190 - 36th Cross, 4th Main, Jayanagar",junction,2024-04-09,12.922651633687517,77.58126195007735,0.030997135,Low,10.4,0.1,0.1,0.03,2024-04-09
BTP222 - Delmia Circle,junction,2024-04-09,12.905872203529412,77.59264487411765,0.05781099,Low,10.4,0.3,0.2,0.08,2024-04-09
BTP064 - Devanga Hostel Junction,junction,2024-04-09,12.96268053368421,77.58990699578948,0.03351659,Low,10.4,0.2,0.1,0.06,2024-04-09
BTP079 - Town Hall Junction,junction,2024-04-09,12.964662841935484,77.58480971935484,0.03661707,Low,10.4,0.2,0.1,0.05,2024-04-09
BTP106 - VV Puram College,junction,2024-04-09,12.952853619144381,77.5742573657524,0.03209977,Low,10.4,0.2,0.1,0.04,2024-04-09
BTP121 - KH Circle,junction,2024-04-09,12.951919158666666,77.59041085733334,0.06021081,Low,10.4,0.4,0.2,0.09,2024-04-09
BTP128 - Gorappanapalya Junction,junction,2024-04-09,12.920613594117647,77.6003740882353,0.09463368,Low,10.4,0.5,0.3,0.12,2024-04-09
"BTP094 - Sri Skanda Complex, Mysore Road",junction,2024-04-09,12.95581615764706,77.54618573529412,0.05268618,Low,10.4,0.4,0.3,0.11,2024-04-09
BTP196 - Sarakki Main Road,junction,2024-04-09,12.91112095952765,77.5781207231884,0.0668273,Low,10.4,0.3,0.2,0.08,2024-04-09
BTP036 - Police Thimmaiah Circle (GPO),junction,2024-04-09,12.98094640945946,77.59428802297298,0.011949683,Low,10.3,0.1,0.0,0.02,2024-04-09
"BTP159 - JP Nagar Metro, ORR",junction,2024-04-09,12.906232425875,77.573168152875,0.045391254,Low,10.3,0.3,0.2,0.08,2024-04-09
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",junction,2024-04-09,12.987772653164557,77.5594433392405,0.025188826,Low,10.3,0.1,0.1,0.03,2024-04-09
"BTP191 - 40th Cross, 4th Main, Jayanagar",junction,2024-04-09,12.92006186516854,77.5822193022472,0.045697335,Low,10.3,0.2,0.1,0.05,2024-04-09
BTP212 - Minto Junction,junction,2024-04-09,12.960257728985507,77.57143755652173,0.041680537,Low,10.3,0.3,0.2,0.07,2024-04-09
"BTP127 - Sagar Hospital, Jayanagar",junction,2024-04-09,12.927932214705882,77.59837052941177,0.050738547,Low,10.3,0.4,0.2,0.1,2024-04-09
BTP107 - National College Junction,junction,2024-04-09,12.948955050684932,77.57294951506849,0.023661224,Low,10.3,0.1,0.1,0.02,2024-04-09
BTP053 - Three Let Junction,junction,2024-04-09,12.983840382608696,77.58177968913044,0.030435987,Low,10.2,0.3,0.2,0.06,2024-04-09
"BTP114 - KR Road Junction, Near JSS",junction,2024-04-09,12.924322724413159,77.57493878339055,0.0061420836,Low,10.2,0.0,0.0,0.01,2024-04-09
BTP187 - South End Circle,junction,2024-04-09,12.937353674534268,77.58199584693376,0.019144451,Low,10.2,0.1,0.0,0.02,2024-04-09
BTP133 - Adugodi Junction,junction,2024-04-09,12.941890507462688,77.60854312089552,0.044628445,Low,10.2,0.3,0.2,0.06,2024-04-09
"BTP089 - Police Quarters, Sultan Road",junction,2024-04-09,12.960992125,77.5635322325,0.037917513,Low,10.2,0.4,0.2,0.1,2024-04-09
"BTP093 - Toll Gate, Mysore Road",junction,2024-04-09,12.958547894444443,77.55221098194444,0.02592969,Low,10.2,0.2,0.1,0.05,2024-04-09
BTP134 - Mico Bande,junction,2024-04-09,12.945716540540541,77.6025567972973,0.041298475,Low,10.2,0.2,0.1,0.06,2024-04-09
BTP185 - RV Teachers College,junction,2024-04-09,12.944620242592592,77.58062071851852,0.00824409,Low,10.2,0.0,0.0,0.01,2024-04-09
"BTP178 - 18th Main, Marenahalli",junction,2024-04-09,12.91689827142857,77.58956701428572,0.03111056,Low,10.1,0.2,0.1,0.04,2024-04-09
BTP035 - Basaweshwara Circle (LH) Junction,junction,2024-04-09,12.98461576451613,77.58817643870967,0.011614194,Low,10.1,0.1,0.0,0.02,2024-04-09
BTP030 - Mekhri Circle,junction,2024-04-09,13.012824675714286,77.58383126285715,0.012736296,Low,10.1,0.1,0.0,0.02,2024-04-09
BTP141 - Palmgroove Junction,junction,2024-04-09,12.968275867567566,77.61366548648648,0.005556721,Low,10.1,0.0,0.0,0.01,2024-04-09
"BTP025 - Puttamma Choultry, Nagarbhavi",junction,2024-04-09,12.978654194999999,77.53813890500001,0.00839035,Low,10.1,0.0,0.0,0.01,2024-04-09
BTP006 - Navarang Bar Junction,junction,2024-04-09,12.99110927631579,77.55770017368421,0.00980626,Low,10.1,0.1,0.0,0.01,2024-04-09
BTP156 - Kamakya Junction,junction,2024-04-09,12.923800053611933,77.55335398807121,0.008648012,Low,10.1,0.1,0.0,0.01,2024-04-09
BTP077 - Halasuru Gate Junction,junction,2024-04-09,12.966897120833332,77.5870293625,0.011743878,Low,10.1,0.1,0.0,0.02,2024-04-09
BTP143 - ASC Junction,junction,2024-04-09,12.969471173333334,77.61978309333334,0.009791919,Low,10.1,0.1,0.1,0.02,2024-04-09
BTP142 - Lower Agram Road Junction,junction,2024-04-09,12.962000976190476,77.61538746190476,0.009210538,Low,10.1,0.1,0.0,0.01,2024-04-09
BTP213 - Royan Circle,junction,2024-04-09,12.960757848606496,77.56831495368421,0.011698835,Low,10.1,0.1,0.1,0.03,2024-04-09
"BTP164 - 29th Main Road, BTM Layout",junction,2024-04-09,12.915922940343162,77.61541795166417,0.0111340005,Low,10.1,0.0,0.0,0.01,2024-04-09
"BTP161 - 15th Cross, 35th Main, JP Nagar",junction,2024-04-09,12.906493766666665,77.577648025,0.009092417,Low,10.1,0.1,0.0,0.01,2024-04-09
"BTP200 - 15th Cross, 33rd Main, JP Nagar",junction,2024-04-09,12.906321830434782,77.58130143913044,0.008453641,Low,10.1,0.1,0.0,0.01,2024-04-09
BTP144 - Commando Hospital Junction,junction,2024-04-09,12.968701750000001,77.62630552499999,0.0059309658,Low,10.0,0.0,0.0,0.01,2024-04-09
BTP154 - Itmadu Junction,junction,2024-04-09,12.930232485714285,77.54541242857144,0.00071459136,Low,10.0,0.0,0.0,0.0,2024-04-09
"BTP112 - 14th Cross, KR Road",junction,2024-04-09,12.92934653,77.57320882,0.0037678108,Low,10.0,0.0,0.0,0.01,2024-04-09
"BTP110 - Bharathi Nursing Home, Basavanagudi",junction,2024-04-09,12.93742960532226,77.57230527575187,0.00065578404,Low,10.0,0.0,0.0,0.0,2024-04-09
BTP181 - Bileka Halli Junction,junction,2024-04-09,12.9019944125,77.60112085,0.0017888235,Low,10.0,0.0,0.0,0.0,2024-04-09
"BTP198 - 9th Cross, 8th Main, JP Nagar",junction,2024-04-09,12.910182857142857,77.5956611,0.0045933803,Low,10.0,0.0,0.0,0.01,2024-04-09
BTP157 - Kadirenahalli Cross,junction,2024-04-09,12.912996066666667,77.56706291333333,0.0012958386,Low,10.0,0.0,0.0,0.0,2024-04-09
GRID_13.0_77.67,grid,2024-04-09,12.996406084503095,77.66879607077169,2.0464368,Low,9.6,18.3,11.0,5.04,2024-04-09
GRID_13.0_77.57,grid,2024-04-09,12.999157963081146,77.57067657143307,0.52620107,Low,9.6,2.1,1.2,0.52,2024-04-09
GRID_12.97_77.61,grid,2024-04-09,12.972334250489427,77.60968779535388,1.2101238,Low,8.7,4.8,2.9,1.23,2024-04-09
GRID_12.99_77.6,grid,2024-04-09,12.98940879062338,77.60034623024461,1.9791492,Low,8.4,7.4,4.4,1.92,2024-04-09
GRID_12.94_77.7,grid,2024-04-09,12.939745543697065,77.69687606479994,0.6275302,Low,8.3,5.1,3.1,1.31,2024-04-09
GRID_12.97_77.62,grid,2024-04-09,12.973081400721911,77.61924401246961,1.380148,Low,8.1,6.0,3.6,1.53,2024-04-09
GRID_12.99_77.57,grid,2024-04-09,12.990622984248333,77.57262878327347,0.90241927,Low,7.5,3.5,2.1,0.9,2024-04-09
GRID_13.19_77.68,grid,2024-04-09,13.18736892340802,77.68032602824292,0.9374501,Low,7.4,4.6,2.7,1.17,2024-04-09
